ppt,model,task,count_recovered,time_recovered,count_crashed,time_crashed,count_followed,length_trials,count_provided_suggestions,prop_provided,prop_followed,,,,,
vbc_011,LSTM,RDK Assist 2 - Retrained,17,1.896125,5,6.348111111,1423,4111,2488,0.605205546,0.34614449,,Overall,0.498,0.433,0.395
zyv_006,LSTM,RDK Assist 2 - Retrained,9,3.420222222,5,3.116722222,899,4146,3291,0.793777135,0.216835504,,SAC,0.499,0.432,0.369
bfs_007,MLP,RDK Assist 2 - Retrained,14,3.277083333,2,1.450833333,956,3888,2920,0.751028807,0.245884774,,SAC-AIRL,0.520,0.444,0.564
nlq_017,MLP,RDK Assist 2 - Retrained,6,0.433333333,3,12.69866667,681,4400,3310,0.752272727,0.154772727,,DDPG,0.572,0.499,0.507
wqi_002,MLP,RDK Assist 2 - Retrained,9,2.927638889,3,10.34033333,1342,3876,3251,0.83875129,0.34623323,,MLP-GMB-0,0.392,0.345,0.231
zop_012,MLP,RDK Assist 2 - Retrained,9,4.079833333,1,4.095333333,688,3892,3076,0.790339157,0.176772867,,LSTM-G-0.2,0.505,0.444,0.304
ezo_020,SAC,RDK Assist 2 - Retrained,12,2.287366667,31,1.129545455,869,3898,2705,0.693945613,0.222934838,,,,,
qkc_005,SAC,RDK Assist 2 - Retrained,9,9.038,2,5.435333333,1065,3875,2730,0.704516129,0.27483871,,,,,
syd_015,SAC,RDK Assist 2 - Retrained,8,0.281333333,0,0,2093,3866,2819,0.729177444,0.541386446,,,,,
urj_010,SAC,RDK Assist 2 - Retrained,19,1.755719577,5,2.525583333,1921,4401,2724,0.618950239,0.436491706,,,,,
cxz_014,SAC-AIRL,RDK Assist 2 - Retrained,6,0.848083333,1,7.454,1854,3863,2964,0.767279317,0.479937872,,,,,
gat_004,SAC-AIRL,RDK Assist 2 - Retrained,0,0,1,2.454666667,1768,3864,3800,0.983436853,0.457556936,,,,,
hjd_019,SAC-AIRL,RDK Assist 2 - Retrained,16,1.073325397,3,7.831166667,1964,4402,3080,0.699681963,0.446160836,,,,,
txi_009,SAC-AIRL,RDK Assist 2 - Retrained,0,0,0,0,3401,3901,3873,0.992822353,0.871827736,,,,,
