,average,average,average,average,average,average,average,average
,count,mean,std,min,25%,50%,75%,max
model,,,,,,,,
assistant_mars_lstm_good_small_window,4.0,28.416666666666664,12.870796688915856,20.666666666666668,21.916666666666664,22.666666666666664,29.166666666666664,47.666666666666664
assistant_mars_mlp_all_prof,4.0,28.333333333333332,22.27272040129077,5.333333333333333,16.083333333333336,25.0,37.25,58.0
ddpg_penalizeDeflection,4.0,132.16666666666669,164.24969699504155,21.0,33.25,67.0,165.91666666666669,373.6666666666667
sac_airl_300k,4.0,58.833333333333336,74.54826922500914,0.0,22.5,33.66666666666667,70.0,168.0
sac_penalizeDeflection,4.0,69.16666666666667,50.470746936183694,15.0,32.75,70.16666666666667,106.58333333333334,121.33333333333333
