ppt,model,task,count_recovered,time_recovered,count_crashed,time_crashed,count_followed,length_trials,count_provided_suggestions
urj_010,LSTM,RDK Assist 1,7,1.8708571428571428,0,0.0,802,1233,958
urj_010,SAC,RDK Assist 2 - Original,7,1.4248571428571426,1,7.593999999999998,752,1432,1023
urj_010,SAC,RDK Assist 2 - Retrained,6,2.3733333333333326,1,6.42,821,1464,1113
vbc_011,SAC,RDK Assist 1,2,3.0005000000000006,1,16.488,678,1223,983
vbc_011,LSTM,RDK Assist 2 - Original,5,2.5723999999999996,0,0.0,512,1381,990
vbc_011,LSTM,RDK Assist 2 - Retrained,2,3.192,3,6.731333333333332,499,1384,1221
zop_012,SAC-AIRL,RDK Assist 1,0,0.0,0,0.0,903,1267,1262
zop_012,MLP,RDK Assist 2 - Original,4,2.0192500000000004,1,17.203,275,1309,1090
zop_012,MLP,RDK Assist 2 - Retrained,9,1.5459999999999998,1,8.241000000000001,171,1310,944
lwd_013,DDPG,RDK Assist 1,8,2.10275,0,0.0,625,1305,711
lwd_013,DDPG,RDK Assist 2 - Original,6,4.0181666666666676,0,0.0,827,1304,999
lwd_013,DDPG,RDK Assist 2 - Retrained,2,8.673499999999999,1,7.664,679,1285,1130
cxz_014,MLP,RDK Assist 1,10,1.5861000000000005,0,0.0,508,1275,667
cxz_014,SAC-AIRL,RDK Assist 2 - Original,8,1.16825,1,6.239000000000001,580,1301,737
cxz_014,SAC-AIRL,RDK Assist 2 - Retrained,8,0.8572499999999998,1,5.189,474,1263,648
syd_015,LSTM,RDK Assist 1,6,1.06,1,2.2749999999999986,293,1208,370
syd_015,SAC,RDK Assist 2 - Original,3,3.2989999999999995,1,2.125,689,1280,988
syd_015,SAC,RDK Assist 2 - Retrained,0,0.0,0,0.0,1152,1296,1286
qfb_016,SAC,RDK Assist 1,8,2.431,0,0.0,631,1266,809
qfb_016,LSTM,RDK Assist 2 - Original,3,1.4926666666666668,2,11.0055,450,1378,1247
qfb_016,LSTM,RDK Assist 2 - Retrained,3,1.3116666666666668,2,11.567500000000003,515,1384,1263
nlq_017,SAC-AIRL,RDK Assist 1,0,0.0,0,0.0,859,1271,1266
nlq_017,MLP,RDK Assist 2 - Original,4,2.648000000000001,1,15.362,739,1493,1280
nlq_017,MLP,RDK Assist 2 - Retrained,5,2.2293999999999987,1,7.424,490,1455,1220
wrz_018,DDPG,RDK Assist 1,5,4.096799999999999,1,1.9429999999999978,849,1305,990
wrz_018,DDPG,RDK Assist 2 - Original,0,0.0,0,0.0,1088,1305,1295
wrz_018,DDPG,RDK Assist 2 - Retrained,5,3.6718,1,4.5600000000000005,887,1284,978
hjd_019,MLP,RDK Assist 1,5,0.8400000000000002,0,0.0,223,1282,426
hjd_019,SAC-AIRL,RDK Assist 2 - Original,3,1.312,2,11.038499999999999,806,1472,1277
hjd_019,SAC-AIRL,RDK Assist 2 - Retrained,8,1.2017500000000003,1,13.356,812,1471,1128
ezo_020,LSTM,RDK Assist 1,3,0.20133333333333323,15,1.0014666666666663,649,1247,696
ezo_020,SAC,RDK Assist 2 - Original,2,0.5570000000000004,15,1.2978666666666665,150,1309,886
ezo_020,SAC,RDK Assist 2 - Retrained,3,1.8196666666666665,11,1.3074545454545456,155,1301,863
