ppt,model,task,count_recovered,time_recovered,count_crashed,time_crashed,count_followed,length_trials,count_provided_suggestions
pno_001,SAC,RDK Assist 1,2,5.078499999999998,1,8.981,876,1301,1153
pno_001,LSTM,RDK Assist 2 - Original,2,2.6429999999999993,6,2.9958333333333336,412,1402,1103
pno_001,LSTM,RDK Assist 2 - Retrained,6,0.9878333333333328,5,3.558,312,1401,1085
wqi_002,SAC-AIRL,RDK Assist 1,0,0.0,0,0.0,906,1278,1250
wqi_002,MLP,RDK Assist 2 - Original,4,1.1249999999999996,1,10.048000000000002,503,1309,714
wqi_002,MLP,RDK Assist 2 - Retrained,5,1.4127999999999994,0,0.0,193,1302,589
dmx_003,DDPG,RDK Assist 1,9,1.3569999999999998,3,2.2800000000000007,676,1308,839
dmx_003,DDPG,RDK Assist 2 - Original,7,1.3260000000000003,8,1.5843749999999996,629,1483,1111
dmx_003,DDPG,RDK Assist 2 - Retrained,7,1.2882857142857147,8,1.815625,694,1488,1170
gat_004,MLP,RDK Assist 1,3,1.610666666666668,4,4.8717500000000005,601,1311,1106
gat_004,SAC-AIRL,RDK Assist 2 - Original,3,3.421,3,4.579,452,1301,1163
gat_004,SAC-AIRL,RDK Assist 2 - Retrained,4,1.0240000000000002,1,1.1749999999999998,119,1286,1104
qkc_005,LSTM,RDK Assist 1,2,3.2540000000000013,1,21.036,616,1226,1116
qkc_005,SAC,RDK Assist 2 - Original,4,0.8935000000000004,1,12.764999999999999,719,1302,962
qkc_005,SAC,RDK Assist 2 - Retrained,1,2.8759999999999994,4,6.118499999999999,560,1288,1158
zyv_006,SAC,RDK Assist 1,0,0.0,0,0.0,1067,1303,1291
zyv_006,LSTM,RDK Assist 2 - Original,1,2.353999999999999,2,12.887,691,1376,1285
zyv_006,LSTM,RDK Assist 2 - Retrained,1,6.370999999999999,1,14.832,179,1389,1272
bfs_007,SAC-AIRL,RDK Assist 1,4,3.3129999999999997,1,6.0,688,1304,992
bfs_007,MLP,RDK Assist 2 - Original,2,1.9940000000000002,2,10.2755,805,1282,1167
bfs_007,MLP,RDK Assist 2 - Retrained,1,19.589,0,0.0,191,1275,1123
emn_008,DDPG,RDK Assist 1,5,4.412400000000001,0,0.0,445,1291,937
emn_008,DDPG,RDK Assist 2 - Original,1,1.3659999999999997,1,26.439,1055,1284,1189
emn_008,DDPG,RDK Assist 2 - Retrained,5,3.1044,0,0.0,658,1291,800
txi_009,MLP,RDK Assist 1,5,3.5224,1,6.59,453,1317,1033
txi_009,SAC-AIRL,RDK Assist 2 - Original,0,0.0,0,0.0,1121,1285,1275
txi_009,SAC-AIRL,RDK Assist 2 - Retrained,4,2.906,1,0.8820000000000006,770,1287,1041
